,Emotion,processed_message
6602,joy,produc brav productive brave
6603,anger,peopl encount day rud mean reason people encounter day rude mean reason
6604,sadness,fix anticip humy see workm friend fix anticipate humiliate see workmates friends
6605,fear,alway afraid tel peopl want see diff self im poor want transcrib onto always afraid tell people want see differently self image poor want transcribe onto
6606,joy,accus supery charact us peopl supery oth accuse superior character usually people superior others
6607,anger,bring com sav wax dol cloud blown across tak bar feet mov fast brought lov tim yet mad bring come savage wax doll cloud blow across tak bare feet move fast bring love time yet make
6608,joy,got sick stomach blog post cut laundry room dry going get sick stomach blog post cute laundry room dryers go
6609,joy,see decemb mon happy count day christmas lik season jol anym see december month happiness count days christmas season jolly anymore
6610,joy,must admit popul wond must admit popular wonderful
6611,sadness,know sorry lik know sorry
6612,joy,effect backfir chang distract solondz tal enough gain sympathy san gimmick effect backfire change distract solondz talented enough gain sympathy sans gimmicks
6613,sadness,bit disco bite discourage
6614,anger,res enough want writ mean nee work look get hackl rais oth judg resentful enough want write mean need work look get hackle raise others judge
6615,sadness,thorough unwelcom school individ peopl clear deeply mov work cho thoroughly unwelcome school individual people clearly deeply move work choices
6616,sadness,hop on day escap tia plac held back inhibit reach pot decid pray hope one day escape tia place hold back inhibit reach potential decide pray
6617,joy,hop consid com let everyon around gorg person hope consider come let everyone around gorgeous personality
6618,anger,market could both investig mak consum prob both eith marketer could bother investigate make consumers probably bother either
6619,sadness,also lik keep int stupid behind slow past known keep gag would requir get light spee transform art ready hold noth back also keep intentionally stupid behind slow past know keep gaga would require get light speed transform artist ready hold nothing back
6620,sadness,unfortun last coupl day ev discov seventy tim sev ev ex hear twosong togeth brought somewh clos certain part mus lif unfortunate last couple days even discover seventy time seven even exist hear twosongs together bring somewhat closure certain part musical life
6621,joy,adv get littl bet aim direct drip want try mak someth lik adventurous get little better aim direction drip want try make something
6622,joy,stil posit effect visit therap confid abl connect psycholog necess dr still positive effect visit therapist confident abilities connections psychologists necessary dr
6623,fear,bit less anxy act start look forward challeng big ev bite less anxious actually start look forward challenge big event
6624,joy,stop challeng alway mak supery lik mag whol fight stop stop challenge always make superior magic whole fight stop
6625,surprise,emot deeply sad stun mat emotion deeply sadden stun matter
6626,anger,sur pleas liv op air sky roof ground tabl part sav return wild nat habit sure pleasure live open air sky roof grind table part savage return wild native habit
6627,anger,nee express bad ign offend need express badly ignore offend
6628,joy,us ev ad two cent useful even add two cents
6629,joy,ev real control lat week calm gain much nee perspect even realise control lately week calm gain much need perspective
6630,fear,go anxy neurot go anxieties neurotic
6631,fear,honest say part tort though part system funct lif on allow ord manip peopl way lin posit serv prupos nee honest say part torture though part system function life one allow order manipulate people way line position serve prupose need
6632,joy,entertain ar park entertain arrive park
6633,joy,il stil nee chemo least rel reass prospect ill still need chemo least relatively reassure prospect
6634,fear,skept look ey rol say nee big hous dink doubl incom kid prettymuch awesom acronym ev skeptical look eye roll say need bigger house dinks double income kid prettymuch awesome acronym ever
6635,anger,hat lik belong want die hat belong want die
6636,anger,obnoxy anym obnoxious anymore
6637,joy,vent notebook amaz vent notebook amaze
6638,sadness,choos bad stop absolv ludicr choose bad stop absolutely ludicrous
6639,fear,funct best lot plat uncomfort lif noth function best lot plate uncomfortable life nothing
6640,joy,sur could tel adv antipast found mozzarell proscuito pretty good sure could tell adventurous antipasti find mozzarella proscuito pretty good
6641,love,lik much could commun lov childr excel much could community love children excel
6642,fear,fright kind raw way frighten kind raw way
6643,sadness,luxury express without fear get beat scold luxury express without fear get beat scold
6644,fear,defend threatened defensive threaten
6645,fear,alon cot oft stay wok rustl sound middl night alone cottage often stay wake rustle sound middle night
6646,surprise,accid mood jump blogspot surpr view lol accidentally mood jump blogspot surprise view lol
6647,sadness,real devast see wit thing around really devastate see witness things around
6648,joy,try giv good old spac rest ass chang point try give good old space rest assure change point
6649,fear,wish knew real asid read nerv twitch wish know really aside read nervous twitch
6650,joy,hop lik thing going gre lik thing gre hopeful things go great things great
6651,sadness,said fb strangely discont tonight say fb strangely discontent tonight
6652,sadness,incred sensit cold extrem unpleas thing expos incredibly sensitive cold extremely unpleasant thing expose
6653,joy,start mess around someth must distract play start mess around something must distract playful
6654,fear,scar worthless someon lov scar worthless someone love
6655,anger,mom simply greedy lack react mom left typ mom simply greedy lack reaction mom leave type
6656,sadness,tend agr burn cal for ach sir song echo year dark leav ar wet rain anticip tend agree burn call forth ache siren song echo years dark leave arrive wet rain anticipation
6657,anger,admit distract fact block traff admit distract fact block traffic
6658,joy,lik many the attack aid real lik acceiv many theories attack aid really acceptable
6659,joy,sup antisoc super antisocial
6660,joy,littl glad dist oth bit sad little glad distant others bite sad
6661,sadness,extrem needy though way oft extremely needy though way often
6662,joy,get frust eith put giv tod break wel want peac calm frust get frustrate either put give todd break well want peace calm frustration
6663,joy,optim pak optimistic pakistan
6664,joy,lik last three month going go sup quick going mov week get situ bam last three months go go super quick go move weeks get situate bam
6665,anger,lik tak bitchy attitud take bitchy attitude
6666,love,littl nostalg little nostalgic
6667,love,soul god alway faith soul god always faithful
6668,sadness,betray disillud betray disillusion
6669,love,lov famy smil friend love family smile friends
6670,anger,rush overwhelm perfect hous brain explod prop decid mak skil get lost debr rush overwhelm perfect house brain explode proper decision make skills get lose debris
6671,sadness,lay raw bar let enemy attack emot someth sil want honest oth lay raw bare let enemies attack emotional something silly want honest others
6672,anger,tend bit cranky gon day without mak art tend bite cranky go days without make art
6673,sadness,unimport inadequ unimportant inadequate
6674,anger,would lik start ask quest stressed would start ask question stress
6675,joy,fuck lov christmas compil list fun thing going old smok get fest fuck love christmas compile list fun things go old smoke get festive
6676,sadness,real needy right really needy right
6677,joy,would pleas cigaret sort deep root mem enjoy suck carcenog smok lung believ pleas illud would pleasant cigarette sort deep root memory enjoy suck carcenogenic smoke lungs believe pleasantness illusion
6678,fear,on girl insec alway one girl insecure always
6679,fear,nee ment diff vuln diff bit fear someway someth wrong need mention difference vulnerable differences bite fear someway something wrong
6680,fear,want abl decl excit sick sing songy voic anyon ev heard frank terr anyth want able declare excite sicken sing songy voice anyone ever hear frankly terrify anything
6681,love,kind sympathet toward camill kind sympathetic towards camilla
6682,sadness,flo day head surfac littl melancho depress could seem bring wat float day head surface little melancholy depress could seem bring water
6683,anger,rath impaty rainbow burst vein rather impatient rainbows burst vein
6684,sadness,pretty numb focus think nee don pretty numb focus think need do
6685,fear,sometim confus wel mom tim nee day pay bil com money nee sometim confus wel sometimes confuse well moment time need day pay bill come money need sometimes confuse well
6686,sadness,ign mess tomorrow ignore message tomorrow
6687,fear,admit alway apprehend ord wing eat admit always apprehensive order wing eat
6688,sadness,submit il writ brought submissive ill write bring
6689,love,lik tend spot stil empath alongsid suff tender spot still empathize alongside suffer
6690,joy,il transf us next year class class websit spec cont unit blog sit ill transfer useful next years class class website specific content unit blog sit
6691,joy,heart lot mak sur stil heart lot make sure still
6692,surprise,rememb look car window passeng around first month vagu surpr already deep shock diff thing look remember look car windows passengered around first months vaguely surprise already deep shock different things look
6693,joy,ear mov dea cab cuty charm man spoon mathem mind earth move death cab cutie charm man spoon mathematical mind
6694,fear,think wak every day terr way tot exhilir fac thing alway scar think wake every day terrify way totally exhilirated face things always scar
6695,love,disrespect us loy rel simply mat disrespect us loyal relationships simply matter
6696,joy,gen yesterday year tpt avers slack blog sint last week sick generous yesterday year tpt aversary slack blogging since last week sick
6697,joy,support whol conf pul gunk drain on sink wond wheth folk cam mak conf work might frust work noth would don support whole conference pull gunk drain one sink wonder whether folks come make conference work might frustration work nothing would do
6698,sadness,almost def almost defeat
6699,fear,walk dawn tread fair skept walk three gre book on hardcov book japanes pick mom walk dawn treader fairly skeptical walk three great book one hardcover book japanese pick mom
6700,joy,support four support four
6701,love,gen tonight generous tonight
6702,fear,yet stil hesit tel yet still hesitant tell
6703,anger,think symptom cold headach last coupl day think symptoms cold headaches last couple days
6704,joy,fin allow acceiv intern bound beg dissolv beg see project suppress cre lot pain around finally allow accept internal boundary begin dissolve begin see project suppress create lot pain around
6705,anger,sort suspect going res real show best sid sort suspect go resentful really show best side
6706,joy,shak famili got precy littl tim left shake familiar get precious little time leave
6707,joy,strong optim bam strong optimistic bam
6708,sadness,let unsuccess let unsuccessful
6709,joy,lik cont content
6710,love,littl bit nostalg little bite nostalgic
6711,sadness,say unhappy besid assign unhappy also kind lost say unhappy besides assignments unhappy also kind lose
6712,anger,irrit today class irritable todays class
6713,joy,lot mom optim lot moments optimistic
6714,fear,fright paranoid frighten paranoid
6715,sadness,real peopl consist mak us unimport grand scheme lif really people consistently make us unimportant grand scheme life
6716,sadness,lik going walk troubl go walk trouble
6717,joy,going year wor photo pleas com far go years worth photos please come far
6718,joy,grown bless proud say healthy year old black mal childr good grow bless proud say healthy year old black male children good
6719,joy,cont think content think
6720,joy,energet healthy first tim long tim guess almost lb tot weightloss energetic healthy first time long time guess almost lb total weightloss
6721,joy,lik eleg lady elegant lady
6722,sadness,recal ev tru sorry play victim short liv would mov ahead recall ever truly sorry play victim short live would move ahead
6723,sadness,went person start talk way brok go personally start talk way break
6724,joy,chef friend mak valu chefs friendly make value
6725,love,work on would quit affect work one would quite affectionate
6726,surprise,know alway littl bit strange plac academy know always little bite strange place academy
6727,joy,look work lik less perfect want perfect look work less perfect want perfection
6728,joy,particul cre mom particularly creative moment
6729,fear,real start mak real distraught upset tim really start make really distraught upset time
6730,joy,stand lik hes spy trust disrespect person stand hes spy trust disrespect personality
6731,love,hold spac ang jealousy sad despair long rel devo hold space anger jealousy sadness despair long relate devour
6732,sadness,pathet liv lik anym pathetic live anymore
6733,love,nee look someth assist us bring good support famy need look something assist us bring good support family
6734,sadness,lik lousy person real think anyth profound say lousy person really think anything profound say
6735,fear,think hair confus think hair confuse
6736,sadness,took second test cognit psycholog test ment exhaust take second test cognitive psychology test mentally exhaust
6737,joy,think id prep bir anybody put plac confid knowledg careg support system body think ideal preparation birth anybody put place confident knowledge caregivers support system body
6738,sadness,someth complet stupid someon point obvy solv something completely stupid someone point obvious solution
6739,sadness,rememb particul on new year day high school trag melancho gen fifteen year old girl ish remember particular one new years day high school tragic melancholy generally fifteen year old girl ish
6740,joy,ter rec world best friend around mak terrific recently worlds best friends around make
6741,sadness,told mak unimport insign tell make unimportant insignificant
6742,sadness,discont everyth manifest destruct self sabot way discontent everything manifest destructive self sabotage ways
6743,joy,pretty yuck real want get anyth pretty yuck really want get anything
6744,surprise,weird know min died around weird know mine die around
6745,joy,know tak car body eat wel exerc get adequ sleep invig phys ment spirit sens know take care body eat well exercise get adequate sleep invigorate physical mental spiritual sense
6746,joy,thing popul entrench gerrymand district would tot reelect gay man thing popular entrench gerrymander district would totally reelect gay man
6747,anger,lik dream self dream selfish
6748,anger,stand clos said cow nam gabriell btw rud cal cow stand close say cow name gabriella btw rude call cow
6749,joy,look forward attend every class leav amaz top world look forward attend every class leave amaze top world
6750,sadness,littl reject sist little reject sister
6751,sadness,stupid stuck know best way get end get end stupid stick know best way get end get end
6752,joy,simply wond simply wonderful
6753,joy,plan begin year littl smug plan begin year little smug
6754,joy,import spend tim famy embark new endeav educ car important spend time family embark new endeavor educational career
6755,sadness,us gloom loss money us anyway usually gloomy loss money use anyway
6756,joy,say peac lov on suff say peaceful love ones sufferers
6757,sadness,eat biscuit crisp ic cream day yeah tast gre mak groggy follow day tak photo eat biscuits crisp ice cream day yeah taste great make groggy follow day take photos
6758,joy,lik sonam deepik genel tal beauty sonam deepika genelia talented beautiful
6759,sadness,found lousy pretty unus find lousy pretty unusual
6760,sadness,start real awkward tubelight reflect glossy pap pict red lac bra start really awkward tubelight reflect glossy paper picture red lace bra
6761,joy,went bed sup ear spent ton tim alot resourc enough lik us fut go bed super early spend ton time alot resources enough useful future
6762,sadness,quit fig whenev find tim abl money tak car sid eq end disappoint quite figure whenever find time ability money take care side equally end disappoint
6763,sadness,honest almost trag honestly almost tragic
6764,joy,could edith mean could ston withdraw cool pity friend could ediths meanness could stoners withdrawal cool pity friends
6765,fear,ign min tantr jump tabl begin pac agit ignore minor tantrum jump table begin pace agitate
6766,sadness,go school horr morn lik meing hat every alon alway emotiona far away everyon els go school horrible morning meing hat every alone always emotionaly far away everyone else
6767,sadness,upload today know wait baremin video film on kind lousy today catch laundry tak easy upload today know wait bareminerals video film one kind lousy today catch laundry take easy
6768,sadness,someth insid paul say fuck let us let us go go brok something inside paul say fuck let us let us go go break
6769,joy,stil somewh cough lik ok without inh exceiv right exerc still somewhat cough ok without inhaler except right exercise
6770,anger,watch video first tim bit bitchy thought outfit watch video first time bite bitchy thoughts outfit
6771,sadness,depr cal day deprive calories day
6772,fear,tel whenev hesit start muay tha tell whenever hesitant start muay thai
6773,anger,angry self giv absolv noth go angry selfish give absolutely nothing go
6774,sadness,lik blink miss blink miss
6775,joy,david going turn ter fath hes already expos newborn son world geek david go turn terrific father hes already expose newborn son world geek
6776,sadness,us empty know happy lik use empty know happiness
6777,sadness,know phys abus child famy memb beat fath til died old broth beat til mov know physically abuse child family member beat father til die older brother beat til move
6778,joy,invig ready tak flight airport invigorate ready take flight airport
6779,joy,ev start success thing lif ever start successful things life
6780,joy,know els word miss respect guy abl hold guy hand around mal know hes min know else word miss respect guy able hold guy hand around mall know hes mine
6781,joy,though success though successful
6782,sadness,lik liv charact felt pain suff live character felt pain suffer
6783,sadness,def weirdo adjust moth defeat weirdo adjust motherhood
6784,love,kind lik long ach spring kind long ache spring
6785,love,ev faith even faithful
6786,sadness,pul reread low pull reread low
6787,joy,friend nic friendly nice
6788,love,bit lik naughty child sur post today bite naughty child sure post today
6789,anger,sarcast today sarcastic today
6790,surprise,act pref peep toe sho not sho funny actually prefer peep toe shoe notice shoe funny
6791,joy,glam anym kangn ranaut href http www glamorous anymore kangna ranaut href http www
6792,sadness,ign invis every weekend mis ignore invisible every weekend miserable
6793,sadness,start homesick first tim lif ev though liv abroad year start homesick first time life even though live abroad years
6794,fear,left slight intimid overwhelm leave slightly intimidate overwhelm
6795,sadness,littl groggy mild headach non wild crazy ev little groggy mild headache non wild crazy even
6796,sadness,get mad brain slow sum got frust work get don forget thing top lousy good chunk year get mad brain slow summer get frustrate work get do forget things top lousy good chunk year
6797,fear,hear hum mak warm leg shift littl strange nee hear hum make warmth legs shift little strange need
6798,sadness,fuck heartbrok fuck heartbroken
6799,anger,start cold lik symptom light nause cough tir start cold symptoms light nausea cough tiredness
6800,joy,precy mom nurs bring precious moments nurse bring
6801,anger,list dubstep damn irrit listen dubstep damn irritate
6802,joy,act cont actually content
6803,surprise,start daz start daze
6804,sadness,nee reason everyth hat subject thund light unnecess need reason everything hat subject thunder lighten unnecessary
6805,sadness,ev know describ lik sad understand decid control mad even know describe sad understand decision control mad
6806,sadness,look list think wond ide lik blank look list think wonder idea blank
6807,fear,fear fearful
6808,anger,oft both in stop lov peopl mat much tim pass deeply wrong often bother inability stop love people matter much time pass deeply wrong
6809,joy,proud work play enrich curios enco environ work cre fut kindergart com school proud work playful enrich curiosity encourage environment work create future kindergarteners come school
6810,anger,real com intens struggles sint mov say proud way giv respect howev nee mad stressed whatev yet stil pul togeth fix issu really come intense struggle since move say proud way give respect however need mad stress whatever yet still pull together fix issue
6811,anger,petty petty
6812,joy,us prob com fact vm entertain lik lov charact usually probably come fact vm entertain love character
6813,sadness,bit disheart blog wis rec bite dishearten blog wise recently
6814,joy,energet mot kid day mov slow energetic motivate kid days move slowly
6815,sadness,abl shar idea without stupid already know dumb able share ideas without stupid already know dumb
6816,joy,excit exam left freedom wish superduper luck excite exams leave freedom wish superduperreally luck
6817,anger,cranky christmas cranky christmas
6818,sadness,falt blurt someth offend pleas understand stil learn prob fool sound falter blurt something offend please understand still learn probably foolish sound
6819,fear,littl less fear little less fearful
6820,anger,got hat would admit let know hat every singl obstac kept every singl lead block kept plac clear path on anoth arm get hat would admit let know hat every single obstacle keep every single leaden block keep place clear path one anothers arm
6821,love,want know nev felt ev expery gentl touch want know never felt ever experience gentle touch
6822,sadness,littl disco giv little discourage give
6823,joy,also photo friend lat three colds fac also photo friendly late three coldsores face
6824,anger,lik cold object id cold object identity
6825,fear,begin think cut rank frug ant improv challeng begin bit insec first entry last mon begin think cut rank frugal antic improv challenge begin bite insecure first entry last month
6826,joy,got anatom first on ev got sci class get anatomy first one ever get science class
6827,sadness,heartbrok peopl nor carolin heartbroken people north carolina
6828,love,lik tot support totally supportive
6829,joy,valu vast underpaid value vastly underpay
6830,love,could nev kind sec intim lov long lifetim could never kind security intimacy love long lifetime
6831,sadness,think sick last week got rut low lik hard get back routin think sick last week get rut low hard get back routine
6832,joy,writ supery pow en abstain throughout year write superior power enable abstain throughout years
6833,anger,could genuin connect enjoy instead withdraw res could genuinely connect enjoy instead withdraw resentful
6834,anger,rebel rebellious
6835,sadness,start explain mis year reason pathet embarrass ev describ start explain miserable year reason pathetic embarrass even describe
6836,fear,know find job god plan littl uncertain everyth mom know find job god plan little uncertain everything moment
6837,sadness,real disheart sad tri cal ashley lat tri cal rommel really dishearten sad try call ashley later try call rommel
6838,fear,would lik go would leav without reason would high uncomfort would go would leave without reason would highly uncomfortable
6839,anger,angel ste greedy jaw dea chant pul steady hand giv second chant art amb pick ground flash light sound angel steal greedy jaw death chance pull steady hand give second chance artist ambulance pick grind flash light sound
6840,joy,littl bit cre little bite creative
6841,surprise,littl daz little daze
6842,anger,seen fal asleep climb back bed ev horizont awak neck cramp hostil che see fall asleep climb back bed even horizontal awake neck cramp hostile cheat
6843,fear,got meant reluct op real shar going get mean reluctant open really share go
6844,fear,overwhelm naus overwhelm nauseous
6845,joy,hono look forward tak challeng honour look forward take challenge
6846,anger,on stubborn on one stubborn ones
6847,joy,alway felt lik il fin mast rais told real import fin univers kind lik intellig enough real fin see prid always felt ill finish master raise tell really important finish university kind intelligent enough really finish see pride
6848,joy,lik talk cre story forev excit fin abl mov talk creation stories forever excite finally able move
6849,fear,find sham skept wisdom popul gur espec com persuas explain sery complex phenomen ev off stand ov com che audy find shamefully skeptical wisdom popular gurus especially come persuasively explain seriously complex phenomena even offer stand ovations come cheer audiences
6850,surprise,sur shock honest sure shock honestly
6851,fear,lil restless axel lil restless axel
6852,joy,think could honest way reason popul incred hot think could honestly way reason popular incredibly hot
6853,joy,part famy acceiv part family accept
6854,anger,hat isol hurt hat isolate hurt
6855,joy,us hat going work much today reass good job use hate go work much today reassure good job
6856,joy,good nee vac vac good need vacation vacation
6857,love,lik meet particul support environ expect tre lost weight want los meet particularly supportive environment expect treat lose weight want lose
6858,sadness,ful stomach nd class day pretty much poop letharg full stomach nd class day pretty much pooped lethargic
6859,sadness,us wak kind groggy usually wake kind groggy
6860,anger,est rul comp end plan sess end day resolv conflict ang anyth both on us fix whatev establish rule comp end plan session end day resolve conflict anger anything bother one us fix whatever
6861,joy,sit outsid mild determin writ gorg outsid ev bug buzz around sit outside mildly determine write gorgeous outside even bug buzz around
6862,sadness,ev blank even blank
6863,sadness,also learn hurt unless hold also learn hurt unless hold
6864,love,tri explain say support goe lif stat quo try explain say supportive go life status quo
6865,love,short loy peopl trust shortage loyal people trust
6866,fear,littl intimid little intimidate
6867,sadness,went bed lat last night sort groggy morn go bed late last night sort groggy morning
6868,sadness,holiday met friend tri commit suicid left hospit holiday meet friend try commit suicide leave hospital
6869,joy,hold bow mak cool hold bow make cool
6870,joy,acceiv comprom driv port compat acceptable compromise drive portable compatible
6871,joy,piec extrem resolv coher mak on success ar book ev seen expery piece extremely resolve cohesive make one successful arist book ever see experience
6872,anger,bit jeal try dat long tim ago want bite jealous try date long time ago want
6873,sadness,quit sor today phys exhaust burnt quite sore today physically exhaust burn
6874,joy,also cont humbl expery alway thank opportun also content humble experience always thankful opportunity
6875,anger,p could sit beat far rebel today bas angry world tim p could sit beat far rebellious today basically angry world time
6876,joy,least bit left instead eag watch two luca grow least bite leave instead eager watch two lucas grow
6877,joy,somehow hum somehow humorous
6878,sadness,hop would disappoint on cal hop would disappoint one call
6879,anger,self complet understood com selfish completely understand come
6880,sadness,littl stupid know little stupid know
6881,joy,pretty confid decid pretty confident decision
6882,joy,lik understand divin nat daught god clear understand divine nature daughter god clearly
6883,anger,hat sometim hateful sometimes
6884,joy,want go uplift peopl let peopl walk away lik saw someth excit want go uplift people let people walk away saw something excite
6885,joy,respect someth girl receiv peer respect something girls receive peer
6886,anger,littl stressed aaron friend sleep little stress aaron friends sleep
6887,sadness,sery got reject sens neith happy sad av seriously get reject sense neither happy sad average
6888,anger,stop jeal stop jealous
6889,sadness,boyfriend sep boyfriend separate
6890,fear,distraught sad distraught sad
6891,sadness,alway help oth way within work fin learn lov help mot vain always help others way within work finally learn love help motivation vain
6892,joy,lik energy moon star vit phys emot sun energy moon star vital physically emotionally sun
6893,love,hear nam lov hear name love
6894,sadness,went bed lousy go bed lousy
6895,anger,guess thing wrot petty smal kind embarrass go back guess things write petty small kind embarrass go back
6896,sadness,expect sorry expect sorry
6897,joy,wel happy progress well happy progress
6898,love,bless liv americ wond famy dorothy kelsey part lif bless live america wonderful family dorothy kelsey part life
6899,joy,bless easy far bless easy far
6900,joy,anybody ful satisfy nev going mak progress sometim bad bad act mot tool anybody fully satisfy never go make progress sometimes bad bad act motivational tool
6901,joy,beg keep support system becam part blood suck everyth profit machinery begin keep support system become part blood suck everything profit machinery
6902,joy,quit pleas spent minut cross train two lot minut vibr plat test program cours quite please spend minutes cross trainer two lot minutes vibration plate test program course
6903,anger,tort torture
6904,sadness,insid lif lik gam sometim cam around wal disappear noth surround keep fear unprotect see op oh mad trust nev felt lik nak around show inside life game sometimes come around wall disappear nothing surround keep fear unprotected see open oh make trust never felt naked around show
6905,joy,high recommend song band gen know sound might seem famili girl rock sort perform sint anyway stuff real good highly recommend song band general know sound might seem familiar girl rock sort performances sincere anyway stuff really good
6906,sadness,letharg lethargic
6907,love,much opposit cool bas drink soc without remembery meet try know peopl acceiv first tim lif much opposite cool base drink socialize without rememberiing meet try know people accept first time life
6908,joy,could cool air marillac lik giant resid freez flow eas teeny extr hol right nostril could cool air marillac giant residential freezer flow ease teeny extra hole right nostril
6909,joy,cod ex sol purpos mak stupid peopl smart code exist sole purpose make stupid people smart
6910,anger,sarcast oft sarcastic often
6911,joy,prob acceiv strategy find hist past imply mean method study hist past must alway subject clear probably acceptable strategy find historical past imply mean method study historical past must always subject clear
6912,joy,think thing lik get thank easy lot peopl think thing get thankful easily lot people
6913,joy,peac look peaceful look
6914,joy,stil thank vein thought id celebr blog shar mom expery fal grat still thankful vein think id celebrate blogging share moments experience fall grateful
6915,anger,viol cre weapon violent creative weapons
6916,fear,overwhelm good way overwhelm good way
6917,sadness,gloom despit los journ gig last march gloomy despite lose journalism gig last march
6918,sadness,stil groggy stomach stil cramp stil blee biopsy lik giv opportun still groggy stomach still cramp still bleed biopsies give opportunity
6919,sadness,skip flo on four two conv quit frank bor map gam skip floor one four two conventional quite frankly bore map game
6920,love,would rath tak chant keep heart get brok stop stop car bit cross cyn would rather take chance keep heart get break stop stop care bitter cross cynical
6921,love,lik hot mess hot mess
6922,anger,try talk anyon irrit lik try talk anyone irritable
6923,sadness,reject child reject child
6924,fear,meas food drink near enough wat track fit overal complet shak unfocus lik found steady mom measure food drink nearly enough water track fitness overall completely shake unfocused foundation steady moment
6925,anger,real impaty really impatient
6926,joy,suggest begin tak tim reflect rel understand spec mak valu lov mak insec unnecess suggest begin take time reflect relationships understand specifically make value love make insecure unnecessary
6927,love,yog op tend two hour lat nic swaddl happy wrap lay upon lay wel mean habit yoga open tender two hours later nicely swaddle happily wrap layer upon layer well mean habit
6928,sadness,woe inadequ lost fear whatev nee don woefully inadequate lose fearful whatever need do
6929,anger,lik idiot b get illog mad peopl going bed ear sorry ang famy idiot b get illogically mad people go bed early sorry anger family
6930,love,bit nostalg ev sint went box dad old pict post href http mysalvagedtreas bite nostalgic ever since go box dads old picture post href http mysalvagedtreasures
6931,sadness,troubl hung homeless trouble hunger homelessness
6932,anger,tort look lect not noth going exceiv holiday plan torture look lecture note nothing go except holiday plan
6933,fear,see confus lat see confuse lately
6934,sadness,cam the whereby ev want hear tru end would fac cas read remors come theory whereby even want hear truth end would face case read remorseful
6935,fear,threatened anxy becom numb detatch emot environ threaten anxious become numb detatched emotions environment
6936,joy,tel joy held calm son tell joy hold calm son
6937,joy,grat today bless two grandson right grateful today bless two grandsons right
6938,surprise,say walk away shak head littl daz get drink say walk away shake head little daze get drink
6939,joy,determin wel moth tongu pap od day tim determine well mother tongue paper odd days time
6940,joy,apply study mast degr acceiv application study master degree accept
6941,love,lik thing hap dad stubborn loy let dump lik rot piec food thing happen dad stubbornly loyal let dump rotten piece food
6942,sadness,slight pain jolt lik froz toe thaw long afternoon sled snow slightly pain jolt freeze toe thaw long afternoon sled snow
6943,sadness,lik want par fortun unfortun want parent fortune unfortunate
6944,fear,lik person tort somebody lik see fan confus embarrass tim person torture somebody see fan confuse embarrass time
6945,love,want capt put word gain sweet tast mou right want capture put word gain sweet taste mouth right
6946,joy,know beyond thrilled fal show hap par know beyond thrill fall show happen paris
6947,surprise,stil littl bit funny discov fb damn still little bite funny discover fb damn
6948,sadness,horr today horrible today
6949,surprise,might go ex smil pick pen fil pag thing say thought obtain mom refrain far away going ins sud left afraid way instead amaz got way might go existance smile pick pen fill page things say thoughts obtain moments refrain far away go insane suddenly leave afraid way instead amaze get way
6950,joy,new for wish extend friend acquaint quit friend for new forum wish extend friends acquaintances quite friendly forum
6951,sadness,guil thing guilty things
6952,joy,also wor ment makin rain may acceiv strip club loc cineplex also worth mention makin rain may acceptable strip club local cineplex
6953,anger,think somehow offend christians play big part destroy ear cult relig mytholog think somehow offend christians play big part destroy earlier culture religions mythologies
6954,sadness,quit photograph letharg drain difficult explain real happy school semest com end quite photographically lethargic drain difficult explain really happy school semester come end
6955,joy,kept lov divin oth crew fellow run volunt passersby keep love divine others crew fellow runners volunteer passersby
6956,anger,weekend sleep bit world weekend sleep bitter world
6957,sadness,disheart dishearten
6958,anger,know seem strange writ tim honest appal behavy moth know seem strange write time honestly appal behavior mother
6959,surprise,littl overwhelm weekend went beach stood surf watch list wav com little overwhelm weekend go beach stand surf watch listen wave come
6960,sadness,real shitty lif gen want writ continu really shitty life general want write continuously
6961,sadness,alway afraid stud real bor hard understand satisfy always afraid students really bore hard understand satisfy
6962,anger,also find cold get broom scrubbing brush vineg old newspap giv hous going also find cold get broom scrub brush vinegar old newspapers give house go
6963,joy,mellow enjoy cool weath mellow enjoy cooler weather
6964,sadness,went church funct instead pretty lam go church function instead pretty lame
6965,fear,insec insecure
6966,anger,could giv away greedy mom could give away greedy moment
6967,fear,shaky weak light head start yesterday morn wok breath prop mat many deep breath took felt enough oxyg going shaky weak light head start yesterday morning wake breathe properly matter many deep breaths take felt enough oxygen go
6968,joy,may also voic thing agr cool pleas fre let know may also voice things agree cool please free let know
6969,sadness,lik less melancho hold caulfield less melancholy holden caulfield
6970,joy,lik learn job transit ord precy someon ask car going learn job transition ordeal precious someone ask care go
6971,surprise,could help littl cury though fin led plan rent ev could help little curious though finally lead plan rent even
6972,love,understand fond toilet on favourit plac hous sery daught enamo porcelain throne us understand fond toilet one favourite place house seriously daughter enamour porcelain throne us
6973,sadness,littl lost mom amp littl low boot little lose moment amp little low boot
6974,love,gentl tap should gentle tap shoulder
6975,joy,stil happy whenev think still happy whenever think
6976,surprise,bit surpr mot capt film seem vis rich detail ful cgi film bite surprise motion capture film seem visual richness detail full cgi film
6977,joy,glad start allow us interact today glad starter allow us interact today
6978,anger,pretty hat toward refrig cle pretty hateful towards refrigerator clean
6979,joy,lik anyth worthwhil blog continu blog thing us marry anything worthwhile blog continue blog things use marry
6980,anger,us alway jeal thing receiv comply valu stuff use always jealous things receive compliment valuable stuff
6981,surprise,funny bonk nev thank fa award funny bonka neva thank fa award
